Term,Lang,Type,kyotoDomainRelevance,kyotoDomainRelevance.raw,termFrequency,hyponymCount,localDocFrequency
fact,,SingleWord,99.99998472331441,1311.0,69,22,57
coupon,,SingleWord,99.99998413956182,1308.0,128,11,109
deal,,SingleWord,99.99998157280001,1296.0,91,17,72
thing,,SingleWord,99.99998062801738,1292.0,95,18,68
chase,,SingleWord,99.99997604138888,1275.0,75,16,75
location,,SingleWord,99.99997250984921,1264.0,89,15,79
union,,SingleWord,99.99997110039925,1260.0,94,14,84
fargo,,SingleWord,99.99997110039925,1260.0,105,11,105
uspostalserviceaddressesindividuals,,SingleWord,99.99996999608796,1257.0,1257,0,1257
people,,SingleWord,99.99996098962136,1236.0,235,5,206
perspective,,SingleWord,99.9999499096851,1216.0,66,18,64
financial instrument,,MultiWord,99.99993648172835,1197.0,189,8,133
tranch,,SingleWord,99.99992891846708,1188.0,80,26,44
application,,SingleWord,99.99991945407476,1178.0,70,18,62
edition,,SingleWord,99.99991844093215,1177.0,107,10,107
vote,,SingleWord,99.99990524188843,1165.0,233,4,233
situation,,SingleWord,99.99988280639174,1148.0,85,13,82
list,,SingleWord,99.9998603935732,1134.0,47,26,42
business entity,,MultiWord,99.99984952045338,1128.0,95,11,94
benefit,,SingleWord,99.99984762765513,1127.0,58,22,49
businesscentersindividuals,,SingleWord,99.99982516773119,1116.0,1116,0,1116
call,,SingleWord,99.99981389202908,1111.0,114,10,101
polity,,SingleWord,99.99981155108124,1110.0,226,4,222
position,,SingleWord,99.99979687391212,1104.0,54,23,46
voting,,SingleWord,99.99974242095688,1085.0,221,4,217
capacity,,SingleWord,99.99973590032094,1083.0,62,18,57
stage,,SingleWord,99.99970812475578,1075.0,44,24,43
formula,,SingleWord,99.99966926208282,1065.0,82,14,71
symbol,,SingleWord,99.9996010540557,1050.0,54,20,50
aspect,,SingleWord,99.99950039118286,1032.0,44,23,43
result,,SingleWord,99.99941953760296,1020.0,52,19,51
context,,SingleWord,99.99935849003556,1012.0,101,10,92
component,,SingleWord,99.99932559922726,1008.0,45,23,42
canadian,,SingleWord,99.99932559922726,1008.0,72,13,72
metada,,SingleWord,99.99904298110103,980.0,144,6,140
overall jurisdiction,,MultiWord,99.99898125899934,975.0,65,14,65
extension,,SingleWord,99.99898125899934,975.0,80,12,75
lifecycle,,SingleWord,99.9988881035333,968.0,101,10,88
asium,,SingleWord,99.99872420914271,957.0,87,10,87
sovereignty,,SingleWord,99.99867545894902,954.0,107,8,106
rdf,,SingleWord,99.9985361567703,946.0,969,0,946
side,,SingleWord,99.99832038559302,935.0,63,16,55
return,,SingleWord,99.99804856911956,923.0,84,12,71
receipt,,SingleWord,99.997760928099,912.0,82,11,76
territory,,SingleWord,99.99743088932054,901.0,54,16,53
function,,SingleWord,99.9973985743067,900.0,50,19,45
constituent,,SingleWord,99.99726519818309,896.0,70,13,64
protection,,SingleWord,99.99686209005445,885.0,81,14,59
bureau,,SingleWord,99.99682262063334,884.0,55,16,52
cost,,SingleWord,99.99665971563041,880.0,47,19,44
international business center,,MultiWord,99.99665971563041,880.0,176,4,176
insurance,,SingleWord,99.99648845859551,876.0,97,11,73
prospectus,,SingleWord,99.9962149703508,870.0,73,14,58
auction,,SingleWord,99.9962149703508,870.0,149,5,145
derivativescontracts,,SingleWord,99.99581690363355,862.0,862,0,862
indicator,,SingleWord,99.99449286177706,840.0,147,6,120
clearing,,SingleWord,99.99391368861987,832.0,116,7,104
reason,,SingleWord,99.99360164674565,828.0,47,17,46
flow,,SingleWord,99.99335716101044,825.0,64,14,55
repository,,SingleWord,99.99256621257942,816.0,55,16,48
responsibility,,SingleWord,99.9923780325267,814.0,41,21,37
lender,,SingleWord,99.99198726155419,810.0,78,14,54
firm,,SingleWord,99.99198726155419,810.0,65,14,54
home,,SingleWord,99.98996556706324,792.0,92,8,88
regulation,,SingleWord,99.98971155725158,790.0,86,9,79
portion,,SingleWord,99.98834174686777,780.0,34,25,30
benchmark,,SingleWord,99.98834174686777,780.0,76,11,65
sea,,SingleWord,99.98819511275121,779.0,47,18,41
common,,SingleWord,99.9850307544979,760.0,40,18,40
respect,,SingleWord,99.98406539802782,755.0,181,4,151
hierarchy,,SingleWord,99.98345655542968,752.0,48,15,47
ratio,,SingleWord,99.98303779165529,750.0,55,14,50
ice,,SingleWord,99.98303779165529,750.0,127,5,125
processing,,SingleWord,99.98303779165529,750.0,55,14,50
warrant,,SingleWord,99.98171682522955,744.0,83,11,62
force,,SingleWord,99.98171682522955,744.0,66,11,62
bloomberg,,SingleWord,99.98171682522955,744.0,150,5,124
balance,,SingleWord,99.98125402783869,742.0,68,13,53
government entity,,MultiWord,99.97681613136271,725.0,29,24,29
vehicle,,SingleWord,99.97532108480274,720.0,62,14,48
foundation,,SingleWord,99.97532108480274,720.0,133,5,120
stream,,SingleWord,99.97339924409391,714.0,55,13,51
growth,,SingleWord,99.97132776381974,708.0,60,11,59
goods,,SingleWord,99.97132776381974,708.0,75,11,59
productsandservices,,SingleWord,99.96870631985414,701.0,825,0,701
reporting,,SingleWord,99.9683127561795,700.0,73,9,70
dollar,,SingleWord,99.96668838704454,696.0,118,5,116
securitiesissuance,,SingleWord,99.96584524355909,694.0,700,0,694
origin,,SingleWord,99.96541570389978,693.0,77,8,77
listing,,SingleWord,99.96129847057975,684.0,71,11,57
program,,SingleWord,99.94776193618087,660.0,45,19,33
statistics,,SingleWord,99.94508436877972,656.0,101,7,82
securities,,SingleWord,99.94439380722449,655.0,655,0,655
parent,,SingleWord,99.93931059399424,648.0,65,11,54
performance,,SingleWord,99.93123267190794,638.0,65,10,58
book,,SingleWord,99.9303679865577,637.0,98,6,91
purchase,,SingleWord,99.92949243242577,636.0,55,11,53
mercado,,SingleWord,99.91808656700279,624.0,48,12,48
